DEPTH,GR7-3,GR7-8,GRA-53
1516.44,77.13,59.22,
1516.94,77.81,66.35,
1517.44,76.13,65.96,
1517.94,73.25,64.44,
1518.44,70.50,63.13,
1518.94,67.38,63.63,
1519.44,72.31,64.05,
1519.94,73.81,64.43,
1520.44,76.81,65.80,
1520.94,70.88,66.92,
1521.44,70.75,67.43,
1521.94,69.81,67.93,
1522.44,72.00,68.51,
1522.94,72.19,69.77,
1523.44,70.75,70.70,
1523.94,68.94,69.29,
1524.44,72.69,68.01,
1524.94,77.81,69.88,
1525.44,80.13,72.77,
1525.94,77.44,75.69,
1526.44,72.75,79.14,
1526.94,72.63,82.63,
1527.44,71.31,86.13,
1527.94,71.44,89.63,
1528.44,67.88,92.04,
1528.94,66.69,91.31,
1529.44,66.38,91.19,
1529.94,70.06,91.86,
1530.44,71.69,92.52,
1530.94,71.25,93.19,
1531.44,68.63,93.71,
1531.94,71.19,93.86,
1532.44,73.75,93.00,
1532.94,72.38,91.91,
1533.44,71.19,91.43,
1533.94,72.31,89.21,
1534.44,77.81,86.03,
1534.94,75.31,82.84,
1535.44,72.56,81.74,
1535.94,70.31,87.01,
1536.44,72.06,90.42,
1536.94,69.00,93.83,
1537.44,72.00,97.08,
1537.94,72.63,96.49,
1538.44,76.13,94.93,
1538.94,69.69,93.38,
1539.44,70.25,91.98,
1539.94,72.06,91.23,
1540.44,74.00,93.42,
1540.94,69.44,95.69,
1541.44,67.31,95.77,
1541.94,64.44,95.83,
1542.44,68.81,95.90,
1542.94,68.63,95.97,
1543.44,70.81,96.03,
1543.94,72.00,96.10,
1544.44,72.69,95.48,
1544.94,75.81,92.86,
1545.44,70.69,90.44,
1545.94,67.81,88.37,
1546.44,66.63,88.15,
1546.94,67.50,88.27,
1547.44,69.75,88.78,
1547.94,70.25,89.87,
1548.44,71.50,91.69,
1548.94,71.50,94.39,
1549.44,69.88,96.99,
1549.94,71.69,97.93,
1550.44,69.69,98.71,
1550.94,70.63,98.99,
1551.44,69.94,99.30,
1551.94,68.00,99.80,
1552.44,68.75,100.46,
1552.94,70.13,99.92,
1553.44,72.31,98.18,
1553.94,71.31,98.86,
1554.44,73.25,100.39,
1554.94,72.81,100.44,
1555.44,75.44,101.75,
1555.94,69.81,103.10,
1556.44,73.50,104.45,
1556.94,69.69,105.80,
1557.44,71.94,107.09,
1557.94,67.88,105.58,
1558.44,70.13,103.60,
1558.94,70.19,101.63,
1559.44,74.00,100.23,
1559.94,71.63,100.63,
1560.44,68.63,100.97,
